010123101,INTRODUCTION TO COMPUTER,2558,1,1,B,3
040203111,ENGINEERING MATHEMATICS I,2558,5,3,D+,1.5
040313005,PHYSICS I,2558,4,3,C,2
040313006,PHYSICS LABORATORY I,2558,4,1,B,3
080103001,ENGLISH I,2558,9,3,B,3
080203901,MAN AND SOCIETY,2558,1,3,B,3
080303505,TABLE TENNIS,2558,1,1,B+,3.5
010113010,ELECTRIC CIRCUIT THEORY,2558,4,3,D,1
010113011,ELECTRIC CIRCUIT LAB,2558,2,1,A,4
040203112,ENGINEERING MATHEMATICS II,2558,5,3,C,2
040313007,PHYSICS II,2558,5,3,D+,1.5
040313008,PHYSICS LABORATORY II,2558,6,1,C+,2.5
080103002,ENGLISH II,2558,76,3,C+,2.5
080303501,BASKETBALL,2558,2,1,B,3
010123102,PROGRAMMING FUNDAMENTALS,2559,1,3,B,3
010123104,DISCRETE MATHEMATICS,2559,1,3,F,0
010123107,LOGIC DESIGN OF DIGITAL SYST,2559,1,3,F,0
010123108,DIGITAL SYSTEM DESIGN LABORA,2559,1,1,D,1
040503001,STATISTICS IN EVERYDAY LIFE,2559,10,3,B,3
010123103,ALGORITHMS AND DATA STRUCTUR,2559,1,3,D+,1.5
010123113,DATA COMMUNICATIONS    ,2559,1,3,D,1
010123114,ANALOG AND DIGITAL ELECTRONI,2559,1,3,D,1